date,QNH,QFE,temp,RH,DP_temp,visibility
2024/9/1 0:00,1021.8,813.1,17.6,99,17.4,8000
2024/9/1 1:00,1022.4,813.6,19.5,91,18,10000
2024/9/1 2:00,1022.8,813.9,21.6,80,18.1,10000
2024/9/1 3:00,1023.4,814.4,21.1,86,18.7,15000
2024/9/1 4:00,1023.1,814.2,22,76,17.7,30000
2024/9/1 5:00,1022.9,814,22.7,77,18.5,30000
2024/9/1 6:00,1021.8,813,24.7,61,16.8,30000
2024/9/1 7:00,1020.6,812.1,25.4,71,19.9,30000
2024/9/1 8:00,1019.9,811.6,20.8,85,18.2,30000
2024/9/1 9:00,1019.1,811,21,77,16.9,30000
2024/9/1 10:00,1018.5,810.5,21.7,82,18.6,30000
2024/9/1 11:00,1018.5,810.5,22.2,77,18.1,30000
2024/9/1 12:00,1019.1,811,20.1,91,18.6,30000
2024/9/1 13:00,1020.5,812.1,18.4,97,17.9,30000
2024/9/1 14:00,1021.6,813,17.9,98,17.6,10000
2024/9/1 15:00,1022.1,813.4,17.8,98,17.5,10000
2024/9/1 16:00,1022.4,813.6,17.8,99,17.6,6000
2024/9/1 17:00,1021,812.5,17.2,99,17,10000
2024/9/1 18:00,1021.5,812.9,18,98,17.7,10000
2024/9/1 19:00,1021.3,812.7,18,97,17.5,10000
2024/9/1 20:00,1021.3,812.7,17.8,98,17.5,10000
2024/9/1 21:00,1020.9,812.4,17.1,99,16.9,8000
2024/9/1 22:00,1021.1,812.6,17.5,99,17.3,7000
2024/9/1 23:00,1021.1,812.6,17.3,99,17.1,8000
2024/9/2 0:00,1021.6,813,16.6,99,16.4,30000
2024/9/2 1:00,1022.5,813.7,21.3,85,18.7,30000
2024/9/2 2:00,1023.3,814.3,20.9,91,19.4,30000
2024/9/2 3:00,1023.5,814.5,21.8,84,19,30000
2024/9/2 4:00,1023.4,814.4,20.2,90,18.5,30000
2024/9/2 5:00,1022.5,813.7,21.8,83,18.8,30000
2024/9/2 6:00,1022,813.3,20.4,91,18.9,30000
2024/9/2 7:00,1021,812.5,22.8,83,19.8,30000
2024/9/2 8:00,1020.3,811.8,23.5,72,18.3,30000
2024/9/2 9:00,1019.8,811.4,22.7,78,18.7,30000
2024/9/2 10:00,1019.1,811,21,86,18.6,30000
2024/9/2 11:00,1019.9,811.6,20.4,86,18,30000
2024/9/2 12:00,1020.8,812.3,19.4,95,18.6,30000
2024/9/2 13:00,1021.1,812.6,19,97,18.5,20000
2024/9/2 14:00,1021.8,813.1,19.4,89,17.6,10000
2024/9/2 15:00,1022.4,813.6,19.1,89,17.3,10000
2024/9/2 16:00,1022.8,813.9,17.7,97,17.2,10000
2024/9/2 17:00,1022.1,813.4,18.1,96,17.5,10000
2024/9/2 18:00,1021.8,813.1,17.4,98,17.1,10000
2024/9/2 19:00,1021.3,812.7,17.3,99,17.1,10000
2024/9/2 20:00,1021,812.5,16.6,99,16.4,10000
2024/9/2 21:00,1020.8,812.3,16.6,99,16.4,10000
2024/9/2 22:00,1020.9,812.4,17.4,98,17.1,10000
2024/9/2 23:00,1020.9,812.4,16.8,99,16.6,10000
2024/9/3 0:00,1022.4,813.6,17.1,98,16.8,30000
2024/9/3 1:00,1023.3,814.3,19.6,92,18.3,30000
2024/9/3 2:00,1023.7,814.6,21.1,85,18.5,30000
2024/9/3 3:00,1023.9,814.8,20.8,86,18.4,30000
2024/9/3 4:00,1023.8,814.7,21.4,84,18.6,30000
2024/9/3 5:00,1023.3,814.3,19.2,93,18.1,30000
2024/9/3 6:00,1022.1,813.4,22.2,76,17.8,30000
2024/9/3 7:00,1021,812.5,21.3,86,18.9,30000
2024/9/3 8:00,1020.4,812,21.7,83,18.7,30000
2024/9/3 9:00,1020,811.7,20.4,93,19.3,30000
2024/9/3 10:00,1019.9,811.6,20.2,88,18.2,30000
2024/9/3 11:00,1019.8,811.5,20.1,91,18.6,30000
2024/9/3 12:00,1020.4,812,19.5,98,19.2,3000
2024/9/3 13:00,1021,812.5,18.8,98,18.5,10000
2024/9/3 14:00,1021.6,813,18.6,98,18.3,10000
2024/9/3 15:00,1022,813.3,17.7,98,17.4,10000
2024/9/3 16:00,1021.6,813,17.8,99,17.6,10000
2024/9/3 17:00,1022.8,813.9,17.6,97,17.1,10000
2024/9/3 18:00,1022.5,813.7,16.9,99,16.7,10000
2024/9/3 19:00,1022.3,813.5,17.5,97,17,10000
2024/9/3 20:00,1021.6,813,18.1,93,17,10000
2024/9/3 21:00,1021.5,812.9,17.1,98,16.8,10000
2024/9/3 22:00,1021.6,813,17.3,99,17.1,10000
2024/9/3 23:00,1021.8,813.1,17.7,93,16.6,30000
2024/9/4 0:00,1019.9,811.6,17.8,99,17.6,3000
2024/9/4 1:00,1020.4,812,18.3,97,17.8,3000
